fullname,position,school,visiting_team,season,visit_type
Shavon Revel,Cornerback,East Carolina,Green Bay Packers,2025,T30
Elijah Roberts,Defensive End,SMU,Green Bay Packers,2025,T30
T.J. Sanders,Defensive Tackle,South Carolina,Green Bay Packers,2025,T30
Josh Simmons,Offensive Tackle,Ohio State,Green Bay Packers,2025,T30
Shemar Stewart,Defensive End,Texas A&M,Green Bay Packers,2025,T30
John Williams,Offensive Guard,Cincinnati,Green Bay Packers,2025,T30
Mykel Williams,Defensive End,Georgia,Green Bay Packers,2025,T30
Elijah Arroyo,Tight End,Miami,Houston Texans,2025,T30
Jaydon Blue,Running Back,Texas,Houston Texans,2025,LOC
Isaiah Bond,Wide Receiver,Texas,Houston Texans,2025,VIR
Tyler Booker,Offensive Guard,Alabama,Houston Texans,2025,COM
Dalevon Campbell,Wide Receiver,South Carolina,Houston Texans,2025,LOC
Josh Conerly Jr.,Offensive Tackle,Oregon,Houston Texans,2025,T30
Hayden Conner,Offensive Guard,Texas,Houston Texans,2025,PRO
Quinn Ewers,Quarterback,Texas,Houston Texans,2025,PRO
Matthew Golden,Wide Receiver,Texas,Houston Texans,2025,LOC
Charles Grant,Offensive Tackle,William & Mary,Houston Texans,2025,T30
Kenneth Grant,Defensive Tackle,Michigan,Houston Texans,2025,T30
Omarion Hampton,Running Back,North Carolina,Houston Texans,2025,COM
Tre Harris,Wide Receiver,Ole Miss,Houston Texans,2025,T30
Jarquez Hunter,Running Back,Auburn,Houston Texans,2025,VIR
Donovan Jackson,Offensive Guard,Ohio State,Houston Texans,2025,T30
Kaleb Johnson,Running Back,Iowa,Houston Texans,2025,T30
Quinshon Judkins,Running Back,Ohio State,Houston Texans,2025,T30
Kyle Kennard,Defensive End,South Carolina,Houston Texans,2025,VIR
Chase Lundt,Offensive Tackle,Connecticut,Houston Texans,2025,T30
Easton Mascarenas-Arnold,Linebacker,USC,Houston Texans,2025,T30
B.J. Mayes,Cornerback,Texas A&M,Houston Texans,2025,PRO
Andrew Mukuba,Safety,Texas,Houston Texans,2025,COM
CJ Ogbonna,Quarterback,Buffalo,Houston Texans,2025,PRO
Oluwafemi Oladejo,Outside Linebacker,UCLA,Houston Texans,2025,T30
Shavon Revel,Cornerback,East Carolina,Houston Texans,2025,T30
T.J. Sanders,Defensive Tackle,South Carolina,Houston Texans,2025,T30
Nic Scourton,Defensive End,Texas A&M,Houston Texans,2025,LOC
Brashard Smith,Running Back,SMU,Houston Texans,2025,LOC
Shemar Stewart,Defensive End,Texas A&M,Houston Texans,2025,LOC
Allen Walker,Linebacker,Jackson State,Houston Texans,2025,T30
Kyle Williams,Wide Receiver,Washington State,Houston Texans,2025,T30
Grey Zabel,Offensive Tackle,North Dakota State,Houston Texans,2025,T30
Ira Armstead,Defensive End,Eastern Illinois,Indianapolis Colts,2025,PRO
Korie Black,Cornerback,Oklahoma State,Indianapolis Colts,2025,PRO
Bryce Cabeldue,Offensive Guard,Kansas,Indianapolis Colts,2025,T30
Seth Coleman,Defensive End,Illinois,Indianapolis Colts,2025,LOC
Alfred Collins,Defensive End,Texas,Indianapolis Colts,2025,T30
Hayden Conner,Offensive Guard,Texas,Indianapolis Colts,2025,VIR
Dalton Cooper,Offensive Tackle,Oklahoma State,Indianapolis Colts,2025,T30
Ajani Cornelius,Offensive Tackle,Oregon,Indianapolis Colts,2025,PRO
Emeka Egbuka,Wide Receiver,Ohio State,Indianapolis Colts,2025,COM
Caleb Etienne,Offensive Tackle,BYU,Indianapolis Colts,2025,PRO
Quinn Ewers,Quarterback,Texas,Indianapolis Colts,2025,T30
Da’Quan Felton,Wide Receiver,Virginia Tech,Indianapolis Colts,2025,VIR
B.J. Green,Defensive End,Colorado,Indianapolis Colts,2025,PRO
Jarquez Hunter,Running Back,Auburn,Indianapolis Colts,2025,VIR
Jordan James,Running Back,Oregon,Indianapolis Colts,2025,PRO
Kyle Kennard,Defensive End,South Carolina,Indianapolis Colts,2025,VIR
B.J. Mayes,Cornerback,Texas A&M,Indianapolis Colts,2025,T30
James Pearce Jr.,Defensive End,Tennessee,Indianapolis Colts,2025,T30
Elijah Ponder,Defensive End,Cal Poly,Indianapolis Colts,2025,T30
Shavon Revel,Cornerback,East Carolina,Indianapolis Colts,2025,T30
Tyler Shough,Quarterback,Louisville,Indianapolis Colts,2025,T30
Josh Simmons,Offensive Tackle,Ohio State,Indianapolis Colts,2025,T30
Jackson Slater,Offensive Guard,Sacramento State,Indianapolis Colts,2025,T30
Shemar Stewart,Defensive End,Texas A&M,Indianapolis Colts,2025,T30
Mason Taylor,Tight End,LSU,Indianapolis Colts,2025,COM
Shemar Turner,Defensive Tackle,Texas A&M,Indianapolis Colts,2025,T30
Joseph Vaughn,Linebacker,UCLA,Indianapolis Colts,2025,PRO
Monray Baldwin,Wide Receiver,Baylor,Jacksonville Jaguars,2025,PRO
Korie Black,Cornerback,Oklahoma State,Jacksonville Jaguars,2025,PRO
Fadil Diggs,Defensive End,Syracuse,Jacksonville Jaguars,2025,VIR
Nick Emmanwori,Safety,South Carolina,Jacksonville Jaguars,2025,COM
Quinn Ewers,Quarterback,Texas,Jacksonville Jaguars,2025,COM
Mason Graham,Defensive Tackle,Michigan,Jacksonville Jaguars,2025,COM
Jordan Houston,Running Back,Marshall,Jacksonville Jaguars,2025,PRO
CJ Ogbonna,Quarterback,Buffalo,Jacksonville Jaguars,2025,PRO
Anthony Belton,Offensive Tackle,N.C. State,Kansas City Chiefs,2025,T30
Philip Blidi,Defensive Tackle,Auburn,Kansas City Chiefs,2025,T30
Isaiah Bond,Wide Receiver,Texas,Kansas City Chiefs,2025,T30
Warren Brinson,Defensive Tackle,Georgia,Kansas City Chiefs,2025,T30
Sam Brown^,Wide Receiver,Miami,Kansas City Chiefs,2025,"T30, VIR"
Bryce Cabeldue,Offensive Guard,Kansas,Kansas City Chiefs,2025,LOC
Gerad Christian-Lichtenhan,Offensive Tackle,Oregon State,Kansas City Chiefs,2025,T30
Josh Conerly Jr.,Offensive Tackle,Oregon,Kansas City Chiefs,2025,COM
Aireontae Ersery,Offensive Tackle,Minnesota,Kansas City Chiefs,2025,T30
Caleb Etienne,Offensive Tackle,BYU,Kansas City Chiefs,2025,T30
Harold Fannin Jr.,Tight End,Bowling Green,Kansas City Chiefs,2025,T30
Tai Felton,Wide Receiver,Maryland,Kansas City Chiefs,2025,VIR
Brandon George^,Linebacker,Pittsburgh,Kansas City Chiefs,2025,"PRO, T30"
Kyonte Hamilton,Defensive Tackle,Rutgers,Kansas City Chiefs,2025,PRO
Coziah Izzard,Defensive Tackle,Penn State,Kansas City Chiefs,2025,PRO
Shemar James,Linebacker,Florida,Kansas City Chiefs,2025,COM
Cam'ron Johnson,Offensive Tackle,Missouri,Kansas City Chiefs,2025,LOC
Kyle Kennard,Defensive End,South Carolina,Kansas City Chiefs,2025,VIR
Easton Kilty,Offensive Tackle,Kansas State,Kansas City Chiefs,2025,LOC
Dontae Manning,Cornerback,Oregon,Kansas City Chiefs,2025,WOR
Damien Martinez,Running Back,Miami,Kansas City Chiefs,2025,T30
Devin Neal,Running Back,Kansas,Kansas City Chiefs,2025,LOC
Omar Norman-Lott,Defensive Tackle,Tennessee,Kansas City Chiefs,2025,T30
Esa Pole,Offensive Tackle,Washington State,Kansas City Chiefs,2025,T30
Darien Porter,Cornerback,Iowa State,Kansas City Chiefs,2025,COM
ShunDerrick Powell,Running Back,Central Arkansas,Kansas City Chiefs,2025,T30
Jordan Riley,Safety,Kansas State,Kansas City Chiefs,2025,LOC
Que Robinson,Defensive End,Alabama,Kansas City Chiefs,2025,T30
Will Sheppard,Wide Receiver,Colorado,Kansas City Chiefs,2025,VIR
Josh Simmons,Offensive Tackle,Ohio State,Kansas City Chiefs,2025,T30
Quentin Skinner,Wide Receiver,Kansas,Kansas City Chiefs,2025,LOC
Melvin Smith,Cornerback,Southern Arkansas,Kansas City Chiefs,2025,T30
Barryn Sorrell,Defensive End,Texas,Kansas City Chiefs,2025,VIR
Mose Vavao,Center,Fresno State,Kansas City Chiefs,2025,T30
Cameron Williams,Offensive Tackle,Texas,Kansas City Chiefs,2025,COM
Darius Alexander,Defensive Tackle,Toledo,Las Vegas Raiders,2025,T30
Kelvin Banks,Offensive Guard,Texas,Las Vegas Raiders,2025,T30
Jeffrey Bassa,Linebacker,Oregon,Las Vegas Raiders,2025,PRO
Teddye Buchanan^,Inside Linebacker,California,Las Vegas Raiders,2025,"PRO, VIR"
Luther Burden III,Wide Receiver,Missouri,Las Vegas Raiders,2025,T30
Will Campbell,Offensive Tackle,LSU,Las Vegas Raiders,2025,T30
Caleb Etienne,Offensive Tackle,BYU,Las Vegas Raiders,2025,PRO
Quinn Ewers,Quarterback,Texas,Las Vegas Raiders,2025,T30
Mason Graham,Defensive Tackle,Michigan,Las Vegas Raiders,2025,T30
Charles Grant,Offensive Tackle,William & Mary,Las Vegas Raiders,2025,T30
Maxwell Hairston,Cornerback,Kentucky,Las Vegas Raiders,2025,T30
Jestin Jacobs,Inside Linebacker,Oregon,Las Vegas Raiders,2025,PRO
Ashton Jeanty,Running Back,Boise State,Las Vegas Raiders,2025,T30
Will Johnson,Cornerback,Michigan,Las Vegas Raiders,2025,T30
B.J. Mayes,Cornerback,Texas A&M,Las Vegas Raiders,2025,PRO
Tetairoa McMillan,Wide Receiver,Arizona,Las Vegas Raiders,2025,T30
Benjamin Morrison,Cornerback,Notre Dame,Las Vegas Raiders,2025,T30
Oluwafemi Oladejo,Outside Linebacker,UCLA,Las Vegas Raiders,2025,T30
Shedeur Sanders^,Quarterback,Colorado,Las Vegas Raiders,2025,"COM, T30"
Tyler Shough,Quarterback,Louisville,Las Vegas Raiders,2025,T30
Arian Smith,Wide Receiver,Georgia,Las Vegas Raiders,2025,VIR
Cam Ward,Quarterback,Miami,Las Vegas Raiders,2025,T30
Jacob Bayer,Center,Arkansas State,Los Angeles Chargers,2025,T30
Chaz Chambliss,Linebacker,Georgia,Los Angeles Chargers,2025,T30
Beaux Collins,Wide Receiver,Notre Dame,Los Angeles Chargers,2025,T30
Marque Collins,Cornerback,BYU,Los Angeles Chargers,2025,PRO
Caleb Etienne,Offensive Tackle,BYU,Los Angeles Chargers,2025,PRO
Matthew Golden,Wide Receiver,Texas,Los Angeles Chargers,2025,T30
Ja'Quinden Jackson,Running Back,Arkansas,Los Angeles Chargers,2025,PRO
Nash Jones,Offensive Guard,Texas State,Los Angeles Chargers,2025,PRO
Easton Kilty,Offensive Tackle,Kansas State,Los Angeles Chargers,2025,PRO
Colston Loveland,Tight End,Michigan,Los Angeles Chargers,2025,T30
Tetairoa McMillan,Wide Receiver,Arizona,Los Angeles Chargers,2025,T30
Tuasivi Nomura,Linebacker,Fresno State,Los Angeles Chargers,2025,LOC
Carter Runyon,Tight End,Towson,Los Angeles Chargers,2025,PRO
Mason Taylor,Tight End,LSU,Los Angeles Chargers,2025,T30
Matthew Golden,Wide Receiver,Texas,Los Angeles Rams,2025,COM
Jarquez Hunter,Running Back,Auburn,Los Angeles Rams,2025,VIR
Jalen Milroe,Quarterback,Alabama,Los Angeles Rams,2025,T30
Shemar Stewart,Defensive End,Texas A&M,Los Angeles Rams,2025,T30
B.J. Adams,Cornerback,Central Florida,Miami Dolphins,2025,LOC
Kelvin Banks,Offensive Guard,Texas,Miami Dolphins,2025,COM
Korie Black^,Cornerback,Oklahoma State,Miami Dolphins,2025,"VIR, T30"
Tyler Booker,Offensive Guard,Alabama,Miami Dolphins,2025,COM
Sam Brown^,Wide Receiver,Miami,Miami Dolphins,2025,"COM, LOC"
Nick Emmanwori,Safety,South Carolina,Miami Dolphins,2025,T30
Caleb Etienne,Offensive Tackle,BYU,Miami Dolphins,2025,PRO
Ollie Gordon II,Running Back,Oklahoma State,Miami Dolphins,2025,T30
Kyonte Hamilton,Defensive Tackle,Rutgers,Miami Dolphins,2025,T30
Nash Jones,Offensive Guard,Texas State,Miami Dolphins,2025,PRO
Kyle Kennard,Defensive End,South Carolina,Miami Dolphins,2025,VIR
Damien Martinez,Running Back,Miami,Miami Dolphins,2025,LOC
Dorian Singer,Wide Receiver,Utah,Miami Dolphins,2025,PRO
Shemar Stewart,Defensive End,Texas A&M,Miami Dolphins,2025,T30
Mason Taylor,Tight End,LSU,Miami Dolphins,2025,LOC
Shemar Turner,Defensive Tackle,Texas A&M,Miami Dolphins,2025,T30
Sebastian Valdez,Defensive Tackle,Washington,Miami Dolphins,2025,T30
Kyle Williams,Wide Receiver,Washington State,Miami Dolphins,2025,T30
Kevin Winston Jr.,Safety,Penn State,Miami Dolphins,2025,T30
Tyler Batty,Defensive End,BYU,Minnesota Vikings,2025,PRO
Jacob Bayer,Center,Arkansas State,Minnesota Vikings,2025,T30
Korie Black,Cornerback,Oklahoma State,Minnesota Vikings,2025,PRO
Warren Brinson,Defensive Tackle,Georgia,Minnesota Vikings,2025,T30
Aireontae Ersery,Offensive Tackle,Minnesota,Minnesota Vikings,2025,LOC
Caleb Etienne,Offensive Tackle,BYU,Minnesota Vikings,2025,PRO
Tai Felton,Wide Receiver,Maryland,Minnesota Vikings,2025,PRO
Derrick Harmon,Defensive Tackle,Oregon,Minnesota Vikings,2025,T30
Traeshon Holden,Wide Receiver,Oregon,Minnesota Vikings,2025,VIR
Tyrion Ingram-Dawkins,Defensive Tackle,Georgia,Minnesota Vikings,2025,T30
Jordan James,Running Back,Oregon,Minnesota Vikings,2025,PRO
Nash Jones,Offensive Guard,Texas State,Minnesota Vikings,2025,PRO
Easton Kilty,Offensive Tackle,Kansas State,Minnesota Vikings,2025,PRO
Robert Lewis,Wide Receiver,Auburn,Minnesota Vikings,2025,VIR
Marcus Mbow,Offensive Guard,Purdue,Minnesota Vikings,2025,T30
Kalel Mullings,Running Back,Michigan,Minnesota Vikings,2025,T30
Shavon Revel,Cornerback,East Carolina,Minnesota Vikings,2025,T30
Jonah Savaiinaea,Offensive Tackle,Arizona,Minnesota Vikings,2025,T30
Carson Schwesinger,Linebacker,UCLA,Minnesota Vikings,2025,T30
Dorian Singer,Wide Receiver,Utah,Minnesota Vikings,2025,PRO
Brashard Smith,Running Back,SMU,Minnesota Vikings,2025,T30
Nazir Stackhouse,Defensive Tackle,Georgia,Minnesota Vikings,2025,T30
Darius Alexander,Defensive Tackle,Toledo,New England Patriots,2025,T30
Kelvin Banks,Offensive Guard,Texas,New England Patriots,2025,T30
Jeffrey Bassa,Linebacker,Oregon,New England Patriots,2025,PRO
Korie Black,Cornerback,Oklahoma State,New England Patriots,2025,PRO
Will Campbell,Offensive Tackle,LSU,New England Patriots,2025,T30
Abdul Carter,Outside Linebacker,Penn State,New England Patriots,2025,T30
Barrett Carter,Linebacker,Clemson,New England Patriots,2025,T30
Aireontae Ersery,Offensive Tackle,Minnesota,New England Patriots,2025,T30
Trevor Etienne,Running Back,Georgia,New England Patriots,2025,T30
Joshua Farmer,Defensive Tackle,Florida State,New England Patriots,2025,T30
Ryan Fitzgerald,Kicker,Florida State,New England Patriots,2025,WOR
Ollie Gordon II,Running Back,Oklahoma State,New England Patriots,2025,T30
Mason Graham,Defensive Tackle,Michigan,New England Patriots,2025,T30
R.J. Harvey,Running Back,Central Florida,New England Patriots,2025,T30
Gunnar Helm,Tight End,Texas,New England Patriots,2025,T30
Ruben Hyppolite,Linebacker,Rutgers,New England Patriots,2025,WOR
Jordan James,Running Back,Oregon,New England Patriots,2025,PRO
DeAndre Jules,Defensive Tackle,South Carolina,New England Patriots,2025,PRO
Drew Kendall,Center,Boston College,New England Patriots,2025,PRO
Kyle Kennard^,Defensive End,South Carolina,New England Patriots,2025,"PRO, T30"
Easton Kilty,Offensive Tackle,Kansas State,New England Patriots,2025,PRO
KeAndre Lambert-Smith,Wide Receiver,Auburn,New England Patriots,2025,T30
Chase Lundt,Offensive Tackle,Connecticut,New England Patriots,2025,LOC
Nick Martin,Linebacker,Oklahoma State,New England Patriots,2025,T30
Marcus Mbow,Offensive Guard,Purdue,New England Patriots,2025,T30
Jordan McCloud,Quarterback,Texas State,New England Patriots,2025,PRO
Tetairoa McMillan^,Wide Receiver,Arizona,New England Patriots,2025,"COM, T30"
Jaylin Noel,Wide Receiver,Iowa State,New England Patriots,2025,T30
Oluwafemi Oladejo,Outside Linebacker,UCLA,New England Patriots,2025,T30
Jacob Parrish,Cornerback,Kansas State,New England Patriots,2025,T30
Alex Raynor,Kicker,Kentucky,New England Patriots,2025,WOR
Dylan Sampson^,Running Back,Tennessee,New England Patriots,2025,"PRO, T30"
Nic Scourton,Defensive End,Texas A&M,New England Patriots,2025,T30
Braelon Sloan,Running Back,Ball State,New England Patriots,2025,PRO
Arian Smith,Wide Receiver,Georgia,New England Patriots,2025,VIR
Shemar Stewart,Defensive End,Texas A&M,New England Patriots,2025,T30
Danny Stutsman,Linebacker,Oklahoma,New England Patriots,2025,T30
Ozzy Trapilo,Offensive Tackle,Boston College,New England Patriots,2025,T30
Kyle Williams,Wide Receiver,Washington State,New England Patriots,2025,T30
Mykel Williams,Defensive End,Georgia,New England Patriots,2025,T30
Trey Amos,Cornerback,Ole Miss,New Orleans Saints,2025,PRO
Jahdae Barron,Cornerback,Texas,New Orleans Saints,2025,PRO
Tyler Batty,Defensive End,BYU,New Orleans Saints,2025,WOR
Korie Black,Cornerback,Oklahoma State,New Orleans Saints,2025,WOR
Warren Brinson,Defensive Tackle,Georgia,New Orleans Saints,2025,WOR
Will Brooks,Safety,Tennessee,New Orleans Saints,2025,WOR
Vernon Broughton,Defensive Tackle,Texas,New Orleans Saints,2025,PRO
Will Campbell^,Offensive Tackle,LSU,New Orleans Saints,2025,"COM, LOC"
Josh Conerly Jr.,Offensive Tackle,Oregon,New Orleans Saints,2025,T30
Nick Emmanwori,Safety,South Carolina,New Orleans Saints,2025,T30
Aireontae Ersery,Offensive Tackle,Minnesota,New Orleans Saints,2025,T30
Caleb Etienne^,Offensive Tackle,BYU,New Orleans Saints,2025,"VIR, LOC"
Quinn Ewers^,Quarterback,Texas,New Orleans Saints,2025,"PRO, T30"
Tai Felton,Wide Receiver,Maryland,New Orleans Saints,2025,PRO
Thomas Fidone II,Tight End,Nebraska,New Orleans Saints,2025,T30
Zah Frazier,Cornerback,Texas-San Antonio,New Orleans Saints,2025,PRO
Matthew Golden,Wide Receiver,Texas,New Orleans Saints,2025,PRO
Mason Graham,Defensive Tackle,Michigan,New Orleans Saints,2025,T30
Emery Jones Jr.,Offensive Tackle,LSU,New Orleans Saints,2025,LOC
Saivion Jones,Defensive End,LSU,New Orleans Saints,2025,LOC
Drew Kendall,Center,Boston College,New Orleans Saints,2025,PRO
Kyle Kennard,Defensive End,South Carolina,New Orleans Saints,2025,VIR
Chandler Martin,Linebacker,Memphis,New Orleans Saints,2025,VIR
Nick Martin,Linebacker,Oklahoma State,New Orleans Saints,2025,WOR
Kyle McCord,Quarterback,Syracuse,New Orleans Saints,2025,WOR
Tetairoa McMillan,Wide Receiver,Arizona,New Orleans Saints,2025,T30
Jalen Milroe,Quarterback,Alabama,New Orleans Saints,2025,WOR
Walter Nolen,Defensive Tackle,Ole Miss,New Orleans Saints,2025,PRO
Omarr Norman-Lott,Defensive Tackle,Tennessee,New Orleans Saints,2025,PRO
Oluwafemi Oladejo,Outside Linebacker,UCLA,New Orleans Saints,2025,WOR
James Pearce Jr.,Defensive End,Tennessee,New Orleans Saints,2025,WOR
Caleb Ransaw,Safety,Tulane,New Orleans Saints,2025,LOC
Shavon Revel,Cornerback,East Carolina,New Orleans Saints,2025,T30
Quincy Riley,Cornerback,Louisville,New Orleans Saints,2025,T30
Elijah Roberts,Defensive End,SMU,New Orleans Saints,2025,PRO
Dylan Sampson,Running Back,Tennessee,New Orleans Saints,2025,PRO
Carson Schwesinger,Linebacker,UCLA,New Orleans Saints,2025,PRO
Will Sheppard,Wide Receiver,Colorado,New Orleans Saints,2025,LOC
Tyler Shough,Quarterback,Louisville,New Orleans Saints,2025,T30
Josh Simmons,Offensive Tackle,Ohio State,New Orleans Saints,2025,T30
Arian Smith,Wide Receiver,Georgia,New Orleans Saints,2025,PRO
Shemar Stewart,Defensive End,Texas A&M,New Orleans Saints,2025,T30
Mason Taylor,Tight End,LSU,New Orleans Saints,2025,LOC
Dartanyan Tinsley,Offensive Guard,Cincinnati,New Orleans Saints,2025,WOR
Shemar Turner,Defensive Tackle,Texas A&M,New Orleans Saints,2025,T30
Joseph Vaughn,Linebacker,UCLA,New Orleans Saints,2025,PRO
Mykel Williams^,Defensive End,Georgia,New Orleans Saints,2025,"PRO, T30"
Savion Williams,Wide Receiver,TCU,New Orleans Saints,2025,T30
Darius Alexander,Defensive Tackle,Toledo,New York Giants,2025,T30
Elijah Arroyo,Tight End,Miami,New York Giants,2025,T30
Korie Black^,Cornerback,Oklahoma State,New York Giants,2025,"PRO, T30"
Abdul Carter^,Outside Linebacker,Penn State,New York Giants,2025,"PRO, T30"
Chaz Chambliss,Linebacker,Georgia,New York Giants,2025,WOR
Hayden Conner,Offensive Guard,Texas,New York Giants,2025,PRO
Caleb Etienne,Offensive Tackle,BYU,New York Giants,2025,VIR
Joshua Farmer,Defensive Tackle,Florida State,New York Giants,2025,T30
Da’Quan Felton,Wide Receiver,Virginia Tech,New York Giants,2025,VIR
Ollie Gordon II,Running Back,Oklahoma State,New York Giants,2025,T30
Traeshon Holden,Wide Receiver,Oregon,New York Giants,2025,VIR
Jarquez Hunter,Running Back,Auburn,New York Giants,2025,VIR
Ashton Jeanty,Running Back,Boise State,New York Giants,2025,COM
Kaleb Johnson,Running Back,Iowa,New York Giants,2025,T30
Kyle Kennard,Defensive End,South Carolina,New York Giants,2025,VIR
Kobe King,Linebacker,Penn State,New York Giants,2025,LOC
Jake Majors,Center,Texas,New York Giants,2025,PRO
B.J. Mayes,Cornerback,Texas A&M,New York Giants,2025,PRO
Marcus Mbow,Offensive Guard,Purdue,New York Giants,2025,T30
Kyle McCord,Quarterback,Syracuse,New York Giants,2025,LOC
Jalen Milroe^,Quarterback,Alabama,New York Giants,2025,"T30, WOR"
Jaylen Reed,Safety,Penn State,New York Giants,2025,LOC
Shavon Revel,Cornerback,East Carolina,New York Giants,2025,T30
Eric Rogers,Cornerback,Rutgers,New York Giants,2025,LOC
Shedeur Sanders^,Quarterback,Colorado,New York Giants,2025,"T30, COM, WOR"
Carson Schwesinger,Linebacker,UCLA,New York Giants,2025,PRO
Will Sheppard,Wide Receiver,Colorado,New York Giants,2025,PRO
Tyler Shough,Quarterback,Louisville,New York Giants,2025,T30
Tyler Shough,Quarterback,Texas Tech,New York Giants,2025,WOR
Cam Skattebo,Running Back,Arizona State,New York Giants,2025,T30
Shemar Stewart^,Defensive End,Texas A&M,New York Giants,2025,"PRO, T30"
Cam Ward,Quarterback,Miami,New York Giants,2025,COM
Darius Alexander,Defensive Tackle,Toledo,New York Jets,2025,T30
Dean Clark,Safety,Fresno State,New York Jets,2025,T30
Jordan Clark,Safety,Notre Dame,New York Jets,2025,T30
Aireontae Ersery,Offensive Tackle,Minnesota,New York Jets,2025,T30
Da’Quan Felton,Wide Receiver,Virginia Tech,New York Jets,2025,VIR
Terrance Ferguson,Tight End,Oregon,New York Jets,2025,PRO
Mason Graham,Defensive Tackle,Michigan,New York Jets,2025,T30
Maxwell Hairston,Cornerback,Kentucky,New York Jets,2025,T30
Derrick Harmon,Defensive Tackle,Oregon,New York Jets,2025,VIR
Kyle Kennard,Defensive End,South Carolina,New York Jets,2025,VIR
Jordan McCloud,Quarterback,Texas State,New York Jets,2025,PRO
Jalen Milroe,Quarterback,Alabama,New York Jets,2025,PRO
Andrew Mukuba,Safety,Texas,New York Jets,2025,T30
Esa Pole,Offensive Tackle,Washington State,New York Jets,2025,T30
Jaylen Reed,Safety,Penn State,New York Jets,2025,LOC
Tyler Shough,Quarterback,Louisville,New York Jets,2025,T30
Arian Smith,Wide Receiver,Georgia,New York Jets,2025,T30
Shemar Stewart^,Defensive End,Texas A&M,New York Jets,2025,"PRO, T30"
Tyler Warren,Tight End,Penn State,New York Jets,2025,T30
Kyle Williams,Wide Receiver,Washington State,New York Jets,2025,T30
Mykel Williams,Defensive End,Georgia,New York Jets,2025,T30
Trey Amos,Cornerback,Ole Miss,Philadelphia Eagles,2025,T30
Tyler Baron,Defensive End,Miami,Philadelphia Eagles,2025,T30
Korie Black,Cornerback,Oklahoma State,Philadelphia Eagles,2025,T30
Jaydon Blue,Running Back,Texas,Philadelphia Eagles,2025,T30
Sam Brown^,Wide Receiver,Miami,Philadelphia Eagles,2025,"COM, VIR"
Josh Conerly Jr.,Offensive Tackle,Oregon,Philadelphia Eagles,2025,T30
Donovan Ezeiruaka,Outside Linebacker,Boston College,Philadelphia Eagles,2025,T30
Dylan Fairchild,Offensive Guard,Georgia,Philadelphia Eagles,2025,T30
Maxwell Hairston,Cornerback,Kentucky,Philadelphia Eagles,2025,T30
Coziah Izzard,Defensive Tackle,Penn State,Philadelphia Eagles,2025,PRO
Kyle Kennard,Defensive End,South Carolina,Philadelphia Eagles,2025,PRO
Kobe King,Linebacker,Penn State,Philadelphia Eagles,2025,LOC
Rayuan Lane III,Safety,Navy,Philadelphia Eagles,2025,LOC
Chandler Martin,Linebacker,Memphis,Philadelphia Eagles,2025,VIR
Marcus Mbow,Offensive Guard,Purdue,Philadelphia Eagles,2025,T30
Wyatt Milum,Offensive Tackle,West Virginia,Philadelphia Eagles,2025,T30
Oluwafemi Oladejo,Outside Linebacker,UCLA,Philadelphia Eagles,2025,T30
Jaylen Reed,Safety,Penn State,Philadelphia Eagles,2025,LOC
Elijah Roberts^,Defensive End,SMU,Philadelphia Eagles,2025,"T30, PRO"
Eric Rogers,Cornerback,Rutgers,Philadelphia Eagles,2025,LOC
Carter Runyon,Tight End,Towson,Philadelphia Eagles,2025,PRO
T.J. Sanders,Defensive Tackle,South Carolina,Philadelphia Eagles,2025,T30
Nic Scourton,Defensive End,Texas A&M,Philadelphia Eagles,2025,T30
Will Sheppard,Wide Receiver,Colorado,Philadelphia Eagles,2025,VIR
Jaylin Smith,Cornerback,USC,Philadelphia Eagles,2025,T30
Malaki Starks,Safety,Georgia,Philadelphia Eagles,2025,T30
Shemar Stewart,Defensive End,Texas A&M,Philadelphia Eagles,2025,T30
Mason Taylor,Tight End,LSU,Philadelphia Eagles,2025,COM
Jalen Travis,Offensive Tackle,Iowa State,Philadelphia Eagles,2025,T30
Justin Walley,Cornerback,Minnesota,Philadelphia Eagles,2025,T30
Connor Watkins,Quarterback,Villanova,Philadelphia Eagles,2025,LOC
Kevin Winston Jr.,Safety,Penn State,Philadelphia Eagles,2025,LOC
Darius Alexander,Defensive Tackle,Toledo,Pittsburgh Steelers,2025,T30
Trey Amos,Cornerback,Ole Miss,Pittsburgh Steelers,2025,T30
Jahdae Barron,Cornerback,Texas,Pittsburgh Steelers,2025,PRO
Yahya Black,Defensive Tackle,Iowa,Pittsburgh Steelers,2025,T30
Jaydon Blue,Running Back,Texas,Pittsburgh Steelers,2025,T30
Vernon Broughton,Defensive Tackle,Texas,Pittsburgh Steelers,2025,PRO
Jamaree Caldwell,Defensive Tackle,Oregon,Pittsburgh Steelers,2025,T30
Beaux Collins,Wide Receiver,Notre Dame,Pittsburgh Steelers,2025,T30
Jaxson Dart,Quarterback,Ole Miss,Pittsburgh Steelers,2025,T30
Emeka Egbuka,Wide Receiver,Ohio State,Pittsburgh Steelers,2025,PRO
Nick Emmanwori,Safety,South Carolina,Pittsburgh Steelers,2025,T30
Quinn Ewers,Quarterback,Texas,Pittsburgh Steelers,2025,PRO
Joshua Farmer,Defensive Tackle,Florida State,Pittsburgh Steelers,2025,T30
Brandon George,Linebacker,Pittsburgh,Pittsburgh Steelers,2025,PRO
D.J. Giddens,Running Back,Kansas State,Pittsburgh Steelers,2025,T30
